tx_id,sender_id,receiver_id,amount,transfer_timestamp,withdrawal_timestamp,withdrawal_atm_id
TXN-0000001,ACC_NORM_2185,ACC_NORM_2908,9463.28,2026-07-05T18:54:08,,
TXN-0000002,ACC_NORM_0679,ACC_NORM_1364,9900.77,2026-07-05T19:02:47,,
TXN-0000003,ACC_NORM_1261,ACC_NORM_1604,24810.05,2026-07-05T19:11:25,,
TXN-0000004,ACC_VIC_0748,ACC_MULE_0112,135097.53,2026-07-05T19:20:03,2026-07-05T20:11:07,ATM_UBI_105
TXN-0000005,ACC_NORM_1274,ACC_NORM_2719,936.73,2026-07-05T19:28:42,,
TXN-0000006,ACC_NORM_0486,ACC_NORM_1888,6536.32,2026-07-05T19:37:20,,
TXN-0000007,ACC_MULE_0469,ACC_MULE_0272,210798.2,2026-07-05T19:45:59,2026-07-05T20:05:58,ATM_SBI_149
TXN-0000008,ACC_MULE_0342,ACC_MULE_0443,164421.78,2026-07-05T19:54:37,2026-07-05T20:30:42,ATM_SBI_161
TXN-0000009,ACC_NORM_2168,ACC_NORM_2158,13446.98,2026-07-05T20:03:15,,
TXN-0000010,ACC_NORM_0207,ACC_NORM_2027,17739.16,2026-07-05T20:11:54,,
TXN-0000011,ACC_NORM_0101,ACC_NORM_2140,12445.89,2026-07-05T20:20:32,,
TXN-0000012,ACC_NORM_2986,ACC_NORM_1445,18500.16,2026-07-05T20:29:11,,
TXN-0000013,ACC_NORM_2641,ACC_NORM_1054,6913.59,2026-07-05T20:37:49,,
TXN-0000014,ACC_NORM_0242,ACC_NORM_0697,8243.1,2026-07-05T20:46:27,,
TXN-0000015,ACC_VIC_1107,ACC_MULE_0260,225516.59,2026-07-05T20:55:06,2026-07-05T21:20:02,ATM_SBI_011
TXN-0000016,ACC_NORM_0638,ACC_NORM_0230,16031.05,2026-07-05T21:03:44,,
TXN-0000017,ACC_VIC_0722,ACC_MULE_0270,193475.52,2026-07-05T21:12:23,2026-07-05T21:40:03,ATM_UBI_030
TXN-0000018,ACC_MULE_0342,ACC_MULE_0403,174873.26,2026-07-05T21:21:01,2026-07-05T21:57:09,ATM_ICICI_112
TXN-0000019,ACC_NORM_2627,ACC_NORM_1792,8020.03,2026-07-05T21:29:39,,
TXN-0000020,ACC_NORM_2237,ACC_NORM_1291,19629.63,2026-07-05T21:38:18,,
TXN-0000021,ACC_NORM_0922,ACC_NORM_1251,22350.94,2026-07-05T21:46:56,,
TXN-0000022,ACC_NORM_2608,ACC_NORM_1558,4029.7,2026-07-05T21:55:35,,
TXN-0000023,ACC_NORM_0970,ACC_NORM_1579,20421.24,2026-07-05T22:04:13,,
