tx_id,sender_id,receiver_id,amount,timestamp,is_mule_flag
TXN-ad5fbfcb,ACC-1871,ACC-1683,2922.46,2026-08-05 01:06:06.161838,False
TXN-f4014f3a,ACC-1189,ACC-1120,1595.27,2026-08-05 01:10:06.161838,False
TXN-ec57fb30,ACC-1470,ACC-1338,2112.09,2026-08-05 01:14:06.161838,False
TXN-94405a72,ACC-1280,ACC-1480,3680.71,2026-08-05 01:18:06.161838,False
TXN-36f66e40,ACC-1784,ACC-1672,4081.94,2026-08-05 01:22:06.161838,False
TXN-c416f3a6,ACC-1884,ACC-1695,4119.32,2026-08-05 01:26:06.161838,False
TXN-4a8f523e,ACC-1626,ACC-1870,2248.73,2026-08-05 01:30:06.161838,False
TXN-ddf775c2,ACC-1842,ACC-1422,3829.51,2026-08-05 01:34:06.161838,False
TXN-cb05583b,ACC-1653,ACC-1300,3442.48,2026-08-05 01:38:06.161838,False
TXN-3f695304,ACC-1000,ACC-1815,4941.06,2026-08-05 01:42:06.161838,False
TXN-da4b750a,ACC-1433,ACC-1789,67310.24,2026-08-05 01:46:06.161838,True
TXN-595a76c9,ACC-1130,ACC-1758,3668.01,2026-08-05 01:50:06.161838,False
TXN-e87caf0f,ACC-1180,ACC-1325,1827.42,2026-08-05 01:54:06.161838,False
TXN-ef577b97,ACC-1164,ACC-1095,2506.31,2026-08-05 01:58:06.161838,False
TXN-846e4c85,ACC-1641,ACC-1154,181.23,2026-08-05 02:02:06.161838,False
TXN-25feb83b,ACC-1237,ACC-1539,111.46,2026-08-05 02:06:06.161838,False
TXN-5f236345,ACC-1890,ACC-1235,4814.79,2026-08-05 02:10:06.161838,False
TXN-45fe1442,ACC-1304,ACC-1235,3116.0,2026-08-05 02:14:06.161838,False
TXN-16e27271,ACC-1248,ACC-1035,2604.49,2026-08-05 02:18:06.161838,False
TXN-0625b628,ACC-1817,ACC-1287,72328.27,2026-08-05 02:22:06.161838,True
TXN-7ca6564b,ACC-1110,ACC-1573,4284.43,2026-08-05 02:26:06.161838,False
TXN-a09a41f4,ACC-1348,ACC-1906,3451.87,2026-08-05 02:30:06.161838,False
TXN-57a09fab,ACC-1764,ACC-1522,1381.62,2026-08-05 02:34:06.161838,False
TXN-4ae26cc0,ACC-1495,ACC-1743,4117.46,2026-08-05 02:38:06.161838,False
TXN-deff4754,ACC-1772,ACC-1054,4155.07,2026-08-05 02:42:06.161838,False
TXN-8315417d,ACC-1970,ACC-1687,669.63,2026-08-05 02:46:06.161838,False
TXN-b6ef08ba,ACC-1384,ACC-1305,3570.96,2026-08-05 02:50:06.161838,False
TXN-be4ad7d4,ACC-1542,ACC-1097,3421.17,2026-08-05 02:54:06.161838,False
TXN-3a85c57a,ACC-1343,ACC-1960,563.01,2026-08-05 02:58:06.161838,False
TXN-c6447e6d,ACC-1380,ACC-1942,1222.6,2026-08-05 03:02:06.161838,False
TXN-10b55cc9,ACC-1032,ACC-1583,2765.82,2026-08-05 03:06:06.161838,False
TXN-ea29997a,ACC-1520,ACC-1378,3087.45,2026-08-05 03:10:06.161838,False
TXN-d59e0a72,ACC-1968,ACC-1675,3312.2,2026-08-05 03:14:06.161838,False
